environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 580
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20670
Free Parameters: {'V': 12347, 'W': 8006, 'T': 317}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
198     0.00            1.89            3.50            43.88           
199     0.00            1.75            3.50            44.91           
200     0.00            1.55            3.50            44.91           
201     0.50            1.87            4.00            44.35           
202     0.50            1.92            4.00            44.08           
203     0.00            0.90            2.00            44.82           
204     0.50            2.52            5.00            43.72           
205     0.00            2.02            4.00            44.23           
206     0.00            2.21            4.50            44.15           
207     0.00            1.86            4.00            44.03           
208     0.00            1.49            3.00            44.35           
209     0.50            2.06            4.00            43.97           
210     0.00            2.26            6.00            43.99           
211     0.50            1.94            3.50            43.87           
212     0.00            1.71            3.50            44.23           
213     0.50            1.58            3.50            44.29           
214     0.00            1.95            4.50            44.61           
215     0.00            2.44            5.00            44.05           
216     0.50            1.66            3.00            45.15           
217     1.00            2.46            4.00            44.38           
218     0.00            1.96            4.50            44.98           
219     0.00            1.88            4.00            44.23           
220     0.00            1.50            3.50            44.31           
221     0.00            1.96            4.00            43.95           
222     0.00            2.50            4.50            44.38           
223     0.00            1.67            3.50            44.59           
224     0.00            2.08            3.50            44.28           
225     0.00            1.88            3.50            44.34           
226     0.00            1.69            3.50            44.54           
227     0.50            1.90            4.00            44.20           
228     0.00            1.68            3.00            44.15           
229     0.00            1.09            3.00            44.46           
230     0.00            1.58            3.50            44.68           
231     0.00            2.12            4.00            44.15           
232     0.00            1.17            3.50            44.46           
233     0.00            2.47            5.00            43.88           
234     0.00            1.37            3.00            44.51           
235     0.50            2.01            4.50            44.27           
236     0.00            2.06            4.00            43.96           
237     0.00            1.76            3.50            44.20           
238     1.00            2.98            5.00            43.53           
239     0.00            1.27            3.00            44.39           
240     0.50            2.02            4.00            44.32           
241     0.00            1.56            4.00            44.08           
242     0.00            1.15            3.00            44.43           
243     0.00            2.12            4.00            43.98           
244     0.50            2.51            4.50            43.40           
245     0.50            2.54            4.50            44.10           
246     0.00            2.17            4.00            44.06           
247     0.50            2.82            4.50            43.58           
248     1.00            2.34            4.00            43.55           
249     0.50            1.82            4.00            44.06           
250     0.50            2.73            5.50            44.05           
251     0.00            2.04            4.00            43.96           
252     0.50            1.68            4.50            44.22           
253     0.00            1.98            4.00            44.13           
254     0.50            2.70            4.50            43.97           
255     0.50            1.79            3.50            44.46           
256     1.00            2.64            6.00            43.97           
257     0.50            2.89            4.50            43.68           
258     0.00            1.34            3.00            44.58           
259     0.50            2.10            4.00            44.41           
260     0.00            2.08            4.00            44.06           
261     0.50            2.43            4.50            43.83           
262     0.00            1.50            3.00            44.55           
263     0.00            2.09            3.50            44.56           
264     0.50            2.28            4.00            44.30           
265     0.00            1.56            3.50            44.67           
266     0.00            2.93            5.50            43.96           
267     0.00            2.06            4.50            44.55           
268     0.50            2.62            4.50            44.05           
269     0.50            2.67            4.50            43.56           
270     0.00            2.61            5.00            44.23           
271     0.50            2.03            5.00            44.59           
272     0.00            2.40            4.50            44.29           
273     1.00            2.62            4.50            44.12           
274     0.50            2.36            4.50            44.03           
275     0.50            1.96            3.50            44.09           
276     1.50            2.86            5.50            43.60           
277     0.00            0.96            2.00            44.88           
278     0.50            1.94            4.00            44.51           
279     0.00            1.82            3.50            44.40           
280     0.50            2.05            4.00            44.37           
281     1.00            2.83            5.00            43.49           
282     0.00            2.45            5.00            44.27           
283     0.00            2.06            4.50            44.26           
284     0.50            2.07            4.00            44.05           
285     0.50            1.50            3.00            44.45           
286     0.50            2.75            4.50            44.21           
287     1.00            3.03            5.00            43.57           
288     0.50            1.76            4.00            44.51           
289     0.50            2.19            4.00            44.56           
290     1.00            3.03            5.00            43.79           
291     0.00            1.95            3.50            44.71           
292     1.00            2.67            4.00            44.00           
293     0.00            1.24            3.50            44.96           
294     1.00            3.07            6.50            43.80           
295     0.50            1.45            2.50            44.74           
296     1.00            3.31            5.50            44.09           
297     0.50            2.80            4.50            44.35           
298     1.00            2.41            3.50            44.15           
299     0.00            2.06            4.50            44.74           
300     0.50            1.89            3.50            44.58           
301     0.50            2.57            4.50            44.53           
302     1.50            2.90            4.00            43.75           
303     1.00            2.79            4.50            44.19           
304     0.50            2.17            4.50            44.64           
305     1.00            2.41            3.50            44.10           
306     0.00            1.07            2.50            45.18           
307     1.00            2.27            3.50            44.23           
308     1.50            3.12            5.50            43.84           
309     0.50            2.07            4.00            44.46           
310     0.50            2.12            4.00            44.54           
311     1.00            3.18            6.00            43.89           
312     0.00            2.05            4.00            44.79           
313     0.50            2.25            4.00            44.68           
314     0.00            2.40            4.50            44.52           
315     0.00            2.11            4.00            44.82           
316     0.50            2.46            4.00            44.77           
317     1.00            2.75            4.50            44.28           
318     0.00            1.57            4.00            45.28           
319     0.50            1.92            3.50            45.62           
320     0.50            2.30            4.00            45.74           
321     0.00            1.68            3.00            45.57           
322     1.00            2.88            5.50            44.53           
323     0.00            2.59            5.00            44.71           
324     1.00            3.01            5.00            44.38           
325     0.50            1.88            3.00            44.77           
326     0.50            2.76            4.50            44.20           
327     0.00            2.04            4.00            45.16           
328     0.00            1.55            2.50            45.21           
329     1.00            2.39            4.00            44.62           
330     1.00            2.46            4.50            44.84           
331     0.50            2.20            4.00            44.71           
332     0.50            3.00            5.50            44.45           
333     0.50            2.97            5.00            44.50           
334     0.50            2.10            4.00            44.84           
335     0.50            3.47            5.50            44.50           
336     0.50            3.12            5.00            44.43           
337     0.00            2.39            5.00            44.89           
338     1.00            2.88            5.00            44.38           
339     0.50            2.43            4.50            44.79           
340     0.00            2.70            5.50            44.99           
341     0.50            2.82            5.00            44.43           
342     0.50            2.97            5.00            44.54           
343     0.50            2.24            4.50            45.06           
344     0.50            2.62            4.00            44.87           
345     0.50            3.17            5.50            44.38           
346     0.50            1.93            4.00            45.17           
347     0.50            3.30            6.00            44.55           
348     0.50            2.93            5.50            44.76           
349     0.50            2.10            4.00            44.85           
350     0.00            1.97            4.00            45.36           
351     1.00            2.94            4.50            44.44           
352     0.50            2.55            4.50            44.71           
353     1.00            2.30            4.00            44.85           
354     0.50            1.90            4.00            45.25           
355     0.50            3.31            5.00            44.50           
356     1.00            1.97            4.00            45.12           
357     0.50            2.79            4.50            44.74           
358     0.50            2.75            4.50            44.63           
359     1.00            3.58            5.50            44.31           
360     0.50            2.29            4.00            44.96           
361     0.50            3.30            5.50            44.42           
362     0.00            1.84            3.50            45.28           
363     0.50            2.86            5.00            44.96           
364     0.50            1.63            3.00            45.83           
365     0.50            2.59            4.50            45.39           
366     1.00            2.13            3.50            45.86           
367     0.00            1.75            4.00            46.67           
368     1.00            2.71            4.50            45.49           
369     2.00            2.99            4.50            44.76           
370     0.50            2.62            4.50            45.32           
371     0.50            2.06            3.50            45.29           
372     1.00            3.12            5.00            45.15           
373     0.50            2.41            4.00            45.54           
374     0.50            2.25            4.00            45.78           
375     0.50            2.36            5.00            45.97           
376     0.50            2.75            5.00            45.37           
377     0.50            2.24            4.00            45.62           
378     0.50            2.17            4.00            45.68           
379     0.00            1.90            3.50            45.69           
380     0.50            3.05            5.50            46.07           
381     1.00            3.08            5.00            44.88           
382     1.00            3.58            5.50            44.73           
383     0.50            2.50            4.50            45.67           
384     1.00            2.79            4.50            45.31           
385     1.00            2.75            5.00            45.45           
386     0.50            2.67            5.00            45.85           
387     0.00            3.34            5.50            45.26           
388     1.50            3.33            5.50            44.60           
389     0.50            1.63            3.50            45.51           
390     1.00            3.21            5.00            44.89           
391     1.50            3.07            5.00            44.75           
392     1.50            3.62            6.00            45.36           
393     0.50            3.13            5.50            45.42           
394     0.50            2.50            4.50            45.34           
395     0.00            2.08            3.50            45.65           
396     1.00            3.04            4.50            44.94           
397     0.00            2.50            4.00            45.45           
398     0.00            2.76            5.50            45.51           
399     0.50            1.96            3.50            45.55           
400     1.00            3.12            5.50            45.15           
401     0.50            3.17            5.50            45.25           
402     0.50            2.57            4.50            45.09           
403     0.50            2.46            5.00            45.51           
404     1.00            2.38            5.50            45.39           
405     0.00            2.42            5.00            45.65           
406     0.50            2.60            5.00            45.39           
407     1.00            3.21            5.50            45.17           
408     0.00            3.24            4.50            45.01           
409     1.00            3.05            4.50            45.20           
410     0.50            2.32            3.50            45.54           
411     0.50            1.86            4.00            46.03           
412     1.00            2.79            5.00            45.07           
413     1.00            2.38            4.00            45.33           
414     0.50            2.12            4.00            45.70           
415     0.50            2.01            4.00            45.71           
416     0.50            2.62            4.50            45.46           
417     0.00            2.60            5.00            46.12           
418     0.50            3.36            5.00            45.88           
419     1.00            2.78            4.50            45.92           
420     0.00            2.32            4.50            46.44           
421     1.00            2.94            5.00            46.50           
422     0.50            2.24            4.00            46.61           
423     0.50            3.04            5.50            45.48           
424     0.50            2.26            4.50            45.87           
425     0.00            1.78            4.50            45.94           
426     1.00            3.29            5.50            44.88           
427     0.00            2.20            4.50            45.58           
428     0.50            2.56            4.00            45.28           
429     1.00            2.72            4.50            45.17           
430     0.50            1.82            3.50            45.57           
431     0.50            2.68            4.50            45.04           
432     0.50            1.66            3.00            45.73           
433     1.50            2.72            4.00            44.88           
434     0.50            2.33            4.00            45.50           
435     1.00            2.39            4.00            45.38           
436     0.50            2.24            3.50            45.72           
437     0.50            2.62            5.00            45.19           
438     1.50            3.24            4.50            44.74           
439     0.50            2.74            5.00            45.45           
440     1.00            3.35            5.00            44.95           
441     0.00            2.24            4.00            45.59           
442     1.00            3.72            5.50            45.09           
443     0.50            1.84            4.50            45.91           
444     0.00            2.20            4.00            45.58           
445     0.50            1.98            3.50            45.34           
446     1.00            2.53            4.00            45.00           
447     0.50            2.61            5.00            45.15           
448     0.50            2.46            4.00            45.38           
449     1.00            3.06            5.50            45.64           
450     0.50            2.50            4.00            45.34           
451     1.00            3.58            6.00            44.77           
452     0.50            2.02            3.50            45.69           
453     0.50            2.60            4.50            45.37           
454     1.00            2.62            5.00            45.14           
455     0.00            3.15            5.50            45.70           
456     2.00            3.20            4.50            44.94           
457     0.50            2.50            4.00            45.55           
458     0.50            1.62            3.50            45.82           
459     0.50            2.68            4.50            45.25           
460     0.00            2.01            4.00            45.59           
461     1.00            3.16            5.00            45.17           
462     1.00            3.51            5.50            45.31           
463     1.50            3.87            5.50            44.82           
464     1.00            2.93            5.00            45.05           
465     1.00            2.69            4.50            45.57           
466     0.50            1.81            3.00            45.90           
467     0.50            1.89            3.50            45.94           
468     1.00            2.94            5.50            45.25           
469     1.50            3.01            4.50            44.99           
470     1.00            3.10            5.00            45.20           
471     0.50            2.43            4.50            45.43           
472     0.50            2.57            5.00            45.44           
473     1.00            3.24            5.50            45.11           
474     1.00            3.47            5.50            44.73           
475     1.00            2.51            4.50            45.28           
476     0.50            3.18            5.50            45.50           
477     0.50            2.00            4.50            45.75           
478     1.00            2.40            3.50            45.34           
479     0.50            1.98            4.50            45.70           
480     1.00            3.46            5.50            45.21           
481     0.50            2.68            4.50            45.54           
482     0.50            2.12            4.00            46.33           
483     0.50            1.87            3.50            45.94           
484     1.50            3.18            4.50            44.82           
485     1.50            3.83            6.00            44.63           
486     0.50            1.52            3.00            45.92           
487     0.50            1.74            3.50            45.98           
488     1.00            2.78            4.50            45.47           
489     2.00            3.75            5.50            44.68           
490     0.00            2.17            4.00            45.68           
491     1.50            3.46            5.50            44.92           
492     1.00            3.11            4.50            44.95           
493     1.00            2.76            4.50            45.36           
494     0.50            1.74            3.50            45.90           
495     0.50            2.66            5.00            45.51           
496     0.00            2.08            4.00            45.60           
497     0.50            1.81            4.00            45.68           
498     0.00            1.59            4.00            45.97           
499     0.50            2.76            4.50            45.25           
500     0.50            2.42            4.50            46.01           
501     0.50            2.43            4.00            45.65           
502     0.50            2.60            4.50            45.86           
503     1.00            3.21            5.00            45.18           
504     1.00            3.46            6.00            45.42           
505     1.50            3.02            5.50            45.66           
506     0.50            2.63            5.50            45.72           
507     1.00            3.03            5.00            45.30           
508     1.00            2.81            4.50            45.31           
509     1.00            2.46            3.50            45.21           
510     0.50            3.58            6.50            45.17           
511     0.50            2.58            5.00            45.68           
512     1.50            3.32            5.00            44.64           
513     0.50            3.00            5.00            45.31           
514     1.00            2.32            4.00            45.41           
515     0.50            2.89            5.50            45.46           
516     2.00            3.28            5.00            44.89           
517     0.50            3.12            5.50            45.16           
518     0.50            2.62            4.50            45.29           
519     0.00            1.90            3.50            45.78           
520     0.00            2.34            4.50            45.44           
521     1.00            2.38            3.50            45.80           
522     0.50            3.33            5.50            44.97           
523     1.00            2.56            4.00            45.39           
524     0.00            1.79            3.50            45.84           
525     1.50            3.29            4.50            44.96           
526     0.00            2.19            4.00            45.59           
527     1.00            3.08            5.00            45.44           
528     1.50            3.77            5.50            44.45           
529     0.50            2.54            4.50            45.51           
530     0.50            2.53            4.50            45.50           
531     0.50            1.40            2.50            46.05           
532     1.00            2.62            4.00            45.24           
533     0.00            2.94            4.50            45.53           
534     0.50            3.31            5.00            44.86           
535     1.50            3.07            4.50            44.51           
536     2.00            3.03            4.50            44.67           
537     1.00            3.83            6.50            44.76           
538     0.50            2.28            3.50            45.47           
539     1.50            3.62            6.00            44.83           
540     1.50            3.65            6.00            44.60           
541     0.00            2.41            4.50            45.48           
542     0.50            2.56            4.50            45.51           
543     1.00            2.63            4.50            44.96           
544     0.50            2.06            3.50            45.47           
545     0.00            2.17            4.50            45.83           
546     0.50            2.15            4.00            45.26           
547     0.50            2.71            4.50            45.54           
548     1.00            3.51            5.50            44.91           
549     1.00            2.96            4.50            45.25           
550     0.50            2.82            5.50            45.55           
551     1.50            3.59            5.50            44.52           
552     0.50            2.92            4.50            45.06           
553     0.00            2.18            4.00            45.55           
554     1.00            2.64            3.50            45.16           
555     1.50            3.08            4.50            45.20           
556     1.00            3.24            5.50            45.34           
557     0.00            1.97            3.00            45.88           
558     0.00            3.05            4.50            45.37           
559     0.50            2.45            4.00            45.50           
560     1.00            2.63            5.50            45.42           
561     1.50            3.04            4.50            45.09           
562     0.50            2.37            4.00            45.47           
563     0.50            2.95            5.00            45.78           
564     1.50            2.92            4.50            45.30           
565     0.50            1.94            3.00            46.10           
566     1.00            3.31            5.50            45.50           
567     1.00            2.76            4.00            45.10           
568     1.00            2.71            5.00            45.01           
569     0.50            1.72            4.00            46.16           
570     0.50            2.41            4.00            45.54           
571     1.00            3.33            5.50            45.05           
572     1.00            2.97            5.00            45.10           
573     1.50            3.36            5.00            44.56           
574     1.00            2.51            4.50            45.34           
575     1.00            2.67            4.50            44.85           
576     0.50            2.19            4.50            45.55           
577     0.50            2.23            4.50            45.65           
578     0.50            3.01            5.50            45.27           
579     1.00            4.05            6.50            44.59           
580     1.00            3.58            5.50            44.58           
581     1.50            3.17            5.00            44.79           
582     1.50            3.60            5.50            44.85           
583     0.50            2.55            5.00            45.60           
584     2.00            3.41            5.00            44.83           
585     1.00            2.87            5.00            45.19           
586     1.50            4.17            6.00            44.90           
587     0.50            2.08            3.50            45.66           
588     2.00            4.24            6.50            44.74           
589     1.00            3.34            5.50            45.28           
590     1.00            3.25            5.00            45.03           
591     1.00            3.60            5.50            45.42           
592     1.00            3.00            5.00            45.82           
593     0.50            2.04            4.00            45.70           
594     0.00            3.45            6.00            44.88           
595     0.50            1.84            3.50            45.82           
596     1.00            3.65            5.00            44.67           
597     1.00            2.36            4.00            44.93           
598     0.50            2.85            5.00            45.19           
599     1.50            3.52            6.00            45.22           
600     0.50            3.39            5.00            45.04           
601     1.00            2.92            5.00            45.56           
602     0.50            2.25            3.50            45.67           
603     1.50            3.00            4.50            44.88           
604     0.50            2.72            4.00            44.88           
605     1.00            3.10            5.50            44.88           
606     1.00            3.61            5.50            44.66           
607     1.50            2.98            4.50            44.75           
608     1.00            3.18            5.50            44.99           
609     1.50            3.01            5.00            44.54           
610     0.50            2.83            5.50            45.27           
611     1.00            2.53            4.50            45.63           
612     1.00            3.08            5.00            45.02           
613     1.50            3.31            5.50            44.88           
614     0.00            2.97            5.00            44.87           
