environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20684
Free Parameters: {'V': 12367, 'W': 8012, 'T': 305}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
219     0.00            2.24            4.00            44.56           
220     0.50            2.48            5.00            44.28           
221     0.00            1.56            3.50            44.88           
222     0.50            2.12            4.50            44.57           
223     1.00            2.57            4.50            43.92           
224     0.00            1.75            3.50            44.82           
225     0.00            1.11            3.00            44.73           
226     0.00            1.61            3.50            44.67           
227     0.50            1.65            3.50            44.65           
228     0.50            3.13            5.50            43.71           
229     1.00            3.00            5.50            43.83           
230     0.50            2.71            4.50            43.90           
231     0.00            1.33            3.00            44.75           
232     0.50            2.14            4.00            44.32           
233     0.00            2.04            4.50            44.24           
234     0.00            1.80            4.50            44.85           
235     1.00            2.32            4.00            43.97           
236     0.00            1.55            4.00            44.58           
237     0.00            1.53            3.00            44.58           
238     0.50            2.64            5.00            44.22           
239     0.00            0.97            2.50            45.12           
240     0.00            1.14            2.00            45.11           
241     0.50            1.95            3.50            44.76           
242     0.00            2.58            4.50            44.45           
243     0.00            1.46            3.50            44.80           
244     1.00            3.23            5.00            43.55           
245     0.00            1.07            3.00            45.24           
246     0.50            3.67            6.50            44.00           
247     1.00            2.95            5.00            44.43           
248     0.50            2.08            3.50            44.94           
249     0.00            1.35            3.00            45.26           
250     0.50            2.74            5.00            44.36           
251     1.00            3.08            5.00            43.70           
252     0.00            1.82            3.50            44.90           
253     0.50            2.11            4.50            44.40           
254     0.00            1.25            3.50            45.43           
255     0.00            1.28            3.00            45.22           
256     0.50            2.24            3.50            44.55           
257     0.50            2.05            4.00            44.73           
258     1.50            3.37            5.50            43.80           
259     0.50            2.25            4.00            44.61           
260     0.00            2.77            5.00            44.94           
261     0.00            2.32            4.50            44.63           
262     1.50            3.12            5.50            43.87           
263     1.00            2.91            5.00            44.19           
264     0.00            1.67            3.50            45.58           
265     1.00            3.58            6.00            44.25           
266     0.50            1.72            3.50            44.79           
267     1.50            3.27            5.00            43.98           
268     0.50            2.12            4.00            44.93           
269     0.00            2.51            5.00            44.74           
270     0.00            2.14            4.50            45.21           
271     0.50            2.07            4.50            44.96           
272     0.50            2.24            4.00            44.89           
273     0.50            2.42            4.50            44.79           
274     0.00            1.36            3.00            45.49           
275     1.00            3.44            6.00            43.82           
276     1.00            3.76            6.00            44.19           
277     0.00            1.33            3.00            46.03           
278     1.00            3.00            5.50            44.43           
279     0.00            2.03            4.00            45.19           
280     0.50            2.40            4.50            44.77           
281     0.50            2.52            5.00            44.64           
282     0.00            1.04            2.50            45.47           
283     1.50            3.36            5.50            44.36           
284     0.50            2.54            6.00            44.85           
285     1.00            3.10            5.50            44.72           
286     0.00            1.97            4.50            44.73           
287     1.00            2.53            4.00            44.44           
288     0.00            1.65            3.00            45.26           
289     0.50            1.64            3.00            45.35           
290     1.00            3.02            5.00            44.04           
291     0.50            2.58            4.50            44.72           
292     1.00            2.57            4.50            44.31           
293     1.00            3.20            5.50            44.19           
294     0.00            3.40            5.00            44.36           
295     0.50            2.00            3.50            44.93           
296     0.00            1.79            3.00            45.08           
297     0.00            1.96            4.00            45.32           
298     0.00            1.89            3.50            45.48           
299     0.50            1.76            4.50            45.63           
300     0.50            1.92            3.50            45.57           
301     0.50            1.93            3.50            45.48           
302     0.00            1.76            3.50            45.69           
303     0.50            2.15            4.00            45.13           
304     1.00            2.14            4.00            45.30           
305     0.00            2.36            4.00            45.32           
306     0.00            2.01            4.00            45.50           
307     0.00            1.88            4.00            45.63           
308     1.00            3.21            5.00            44.54           
309     2.00            3.17            4.50            44.50           
310     1.00            3.58            6.50            44.87           
311     0.00            0.79            2.50            46.01           
312     0.50            2.30            4.00            45.23           
313     0.50            3.07            5.50            45.07           
314     0.50            3.50            5.00            44.34           
315     0.50            2.59            4.50            44.94           
316     0.00            1.96            4.00            45.23           
317     1.00            3.33            4.50            44.24           
318     0.50            2.48            4.50            45.01           
319     0.50            1.93            3.50            45.58           
320     0.00            1.75            3.00            45.42           
321     0.50            2.00            4.00            45.38           
322     1.00            2.71            5.50            45.36           
